TERMREASON_FACTOR,SEASON_FACTOR,O2USED,NOHIRED,success,expeditions
Accident (death or serious injury),Autumn,False,True,False,2
Accident (death or serious injury),Spring,False,True,False,1
Accident (death or serious injury),Spring,True,False,False,2
"Bad conditions (deep snow, avalanching, falling ice, or rock)",Autumn,False,False,False,14
"Bad conditions (deep snow, avalanching, falling ice, or rock)",Autumn,False,True,False,12
"Bad conditions (deep snow, avalanching, falling ice, or rock)",Autumn,True,False,False,3
"Bad conditions (deep snow, avalanching, falling ice, or rock)",Spring,False,False,False,11
"Bad conditions (deep snow, avalanching, falling ice, or rock)",Spring,False,True,False,7
"Bad conditions (deep snow, avalanching, falling ice, or rock)",Spring,True,False,False,2
"Bad conditions (deep snow, avalanching, falling ice, or rock)",Summer,False,True,False,1
"Bad conditions (deep snow, avalanching, falling ice, or rock)",Winter,False,False,False,3
"Bad conditions (deep snow, avalanching, falling ice, or rock)",Winter,False,True,False,1
"Bad weather (storms, high winds)",Autumn,False,False,False,27
"Bad weather (storms, high winds)",Autumn,False,True,False,11
"Bad weather (storms, high winds)",Autumn,True,False,False,1
"Bad weather (storms, high winds)",Spring,False,False,False,22
"Bad weather (storms, high winds)",Spring,False,True,False,5
"Bad weather (storms, high winds)",Spring,True,False,False,9
"Bad weather (storms, high winds)",Winter,False,False,False,1
"Bad weather (storms, high winds)",Winter,False,True,False,2
Did not attempt climb,Autumn,False,False,False,3
Did not attempt climb,Autumn,False,True,False,6
Did not attempt climb,Spring,False,False,False,1
Did not attempt climb,Spring,False,True,False,1
Did not attempt climb,Summer,False,True,False,1
Did not reach base camp,Spring,False,False,False,2
"Illness, AMS, exhaustion, or frostbite",Autumn,False,False,False,1
"Illness, AMS, exhaustion, or frostbite",Autumn,False,True,False,5
"Illness, AMS, exhaustion, or frostbite",Spring,False,False,False,14
"Illness, AMS, exhaustion, or frostbite",Spring,False,True,False,5
"Lack (or loss) of supplies, support or equipment",Autumn,False,False,False,1
"Lack (or loss) of supplies, support or equipment",Autumn,False,True,False,1
"Lack (or loss) of supplies, support or equipment",Spring,False,False,False,1
"Lack (or loss) of supplies, support or equipment",Winter,False,False,False,1
Lack of time,Autumn,False,True,False,2
Lack of time,Spring,False,False,False,1
Lack of time,Spring,True,False,False,1
Other,Autumn,False,False,False,1
Other,Autumn,False,True,False,2
Other,Autumn,True,False,False,1
Other,Spring,False,False,False,7
Other,Spring,True,False,False,1
"Route technically too difficult, lack of experience, strength, or motivation",Autumn,False,False,False,2
"Route technically too difficult, lack of experience, strength, or motivation",Autumn,False,True,False,2
"Route technically too difficult, lack of experience, strength, or motivation",Spring,False,False,False,1
"Route technically too difficult, lack of experience, strength, or motivation",Spring,False,True,False,1
"Route technically too difficult, lack of experience, strength, or motivation",Spring,True,False,False,3
Success (main peak),Autumn,False,False,True,156
Success (main peak),Autumn,False,True,True,41
Success (main peak),Autumn,True,False,True,64
Success (main peak),Autumn,True,True,True,1
Success (main peak),Spring,False,False,True,36
Success (main peak),Spring,False,True,True,20
Success (main peak),Spring,True,False,False,1
Success (main peak),Spring,True,False,True,298
Success (main peak),Summer,False,False,True,2
Success (main peak),Summer,False,True,True,1
Success (main peak),Winter,False,False,True,4
Success (main peak),Winter,False,True,True,3
Success (main peak),Winter,True,False,True,1
"Success (subpeak, foresummit)",Autumn,False,True,False,4
"Success (subpeak, foresummit)",Autumn,True,False,False,20
"Success (subpeak, foresummit)",Autumn,True,False,True,1
"Success (subpeak, foresummit)",Spring,False,True,False,1
Unknown,Autumn,False,False,False,6
Unknown,Autumn,False,True,False,4
Unknown,Spring,False,False,False,7
Unknown,Spring,False,True,False,1
Unknown,Winter,False,False,False,3
Unknown,Winter,False,True,False,2
